group_interval,avg_pupil_size
0,1024.1194353963083
1,1032.75
2,1016.7453250222618
3,897.0315581854044
4,1020.9644097222222
5,1007.900267141585
6,952.6321626617375
7,1011.5320334261838
8,1029.5616438356165
9,1011.4344497607656
10,1053.3802447552448
11,1045.9580152671756
12,911.1965897693079
13,897.6499013806706
14,934.0431718061674
15,938.8673932788374
16,934.1796733212341
17,868.0029239766081
18,1009.376439326838
19,999.7590361445783
20,932.4203187250996
21,1038.8919397697077
22,1016.8318924111431
23,1025.91015625
24,1122.1738746690203
25,1127.0753176043556
26,1097.4115490375802
27,1112.1158371040724
28,1011.560546875
29,1115.6724700761697
30,1253.2658898305085
31,1242.9151251360174
32,1148.1998123827393
33,1146.882687927107
34,1206.5628415300546
35,1034.0854800936768
36,1038.5155513666352
37,1088.1377737226278
38,1114.73374888691
39,1017.4246987951807
40,1083.993833504625
41,1100.4345837145472
42,1091.0266666666666
43,1102.2277227722773
44,1155.2881662149955
45,1188.0974084003574
46,1147.1151785714285
47,1110.2030276046305
48,1162.6951871657755
49,1208.6831501831502
50,1218.6319569120287
51,999.8490028490029
52,972.2520179372198
53,1002.8229066410009
54,1010.1859838274933
55,953.4124513618677
56,992.8334825425246
57,1021.9480269489894
58,1014.2446043165468
59,969.8286516853933
60,945.1448339483395
61,1018.6419413919414
62,1075.9533632286996
63,1102.8576642335765
64,1050.3081998114985
65,1101.6615523465705
66,1066.416425120773
67,1169.137899543379
68,1151.4986425339366
69,1090.0262443438914
70,1107.6452488687783
71,1017.9680412371134
72,1145.2848101265822
73,1128.9156079854808
74,993.9383697813121
75,1109.6045662100457
76,1102.5328109696377
77,1094.0329138431753
78,1074.1708494208494
79,1148.746212121212
80,1112.8025477707006
81,1001.4121405750799
82,1134.5693430656934
83,1060.8424657534247
84,1125.1411327762303
85,1056.4058885383806
86,1100.6927651139742
87,1134.3197278911564
88,1031.442842430484
89,1142.4703737465816
90,1131.0305635148043
91,1034.6235541535227
92,1054.1606621226874
93,1120.400759734093
94,1102.1315014720315
95,1074.0591900311526
96,1176.7442748091603
97,1201.7865275142315
98,1172.0952839268527
99,1117.4160427807487
100,1088.0
101,1118.242669362993
102,1105.8653100775193
103,1048.437015503876
104,956.1963906581741
105,1020.7482724580454
106,1086.959223300971
107,1090.6039215686274
108,988.3821932681867
109,1075.1648016276704
110,1034.4984583761561
111,982.7537537537537
112,1031.845697329377
113,909.2006726457399
114,1081.1215953307394
115,1080.5132382892057
116,1096.8453815261043
117,1124.4876033057851
118,1029.7124183006536
119,11        09.7570850202428
